Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2019-07-22,Starbucks,-0.30757725955000004,11108,-1.8701595001233249
2019-07-21,Starbucks,-0.3594221312,7291,-1.9486146509907096
2019-07-20,Starbucks,-0.3578580600000001,6241,-1.9701964975746116
2019-07-19,Starbucks,-0.35962113215,7291,-1.9486146509907096
2019-07-18,Starbucks,-0.3742113568000001,6799,-1.958727287675738
2019-07-17,Starbucks,-0.4194357880000001,7307,-1.94828578475705
2019-07-16,Starbucks,-0.41333904754999995,7125,-1.9520266381649265
2019-07-15,Starbucks,-0.3904183043500001,6882,-1.9570212940886293
2019-07-14,Starbucks,-0.3414465326500001,6791,-1.9588917207925676
2019-07-13,Starbucks,-0.32927734200000003,7958,-1.934905039875031
2019-07-12,Starbucks,-0.3021197319,8007,-1.9338978870344488
2019-07-11,Starbucks,-0.3300762686,8907,-1.915399161391104
2019-07-10,Starbucks,-0.3072930099000001,15124,-1.7876140754748007
2019-07-09,Starbucks,-0.28710822900000005,23299,-1.6195839842144208
2019-07-08,Starbucks,-0.19279200579999994,32775,-1.4248129573296062
2019-07-07,Starbucks,-0.11264153080000003,58974,-0.8863150538518458
2019-07-06,Starbucks,-0.049701439050000046,103166,0.022013483515579857
2019-07-05,Starbucks,0.004759209700000033,10816,-1.87616130888761
2019-07-04,Starbucks,0.09667281064999994,6816,-1.9583778673024748
2019-07-03,Starbucks,0.21538018364999992,6607,-1.9626736824796513
2019-07-02,Starbucks,0.3238522503499999,6308,-1.9688193702211625
2019-07-01,Starbucks,0.3112704251499999,6533,-1.9641946888103263
2019-06-30,Starbucks,0.2122933996,7500,-1.9443188358135328
2019-06-29,Starbucks,0.23337741045000002,7141,-1.951697771931267
2019-06-28,Starbucks,0.3189032788,8616,-1.9213804160157855
2019-06-27,Starbucks,0.31290007230000005,9574,-1.9016895502754254
2019-06-26,Starbucks,0.27545760690000004,9441,-1.9044232508427197
2019-06-25,Starbucks,0.15360130485000004,9291,-1.9075063717832772
2019-06-24,Starbucks,0.03965309169999999,6941,-1.9558085998520103
2019-06-23,Starbucks,0.07628885895,6357,-1.9678122173805805
2019-06-22,Starbucks,0.11891116404999998,6391,-1.967113376634054
2019-06-21,Starbucks,0.12658717479999998,6941,-1.9558085998520103
2019-06-20,Starbucks,0.14972396484999997,8375,-1.9263339636602812
2019-06-19,Starbucks,0.22733478675000002,7866,-1.9367960207185728
2019-06-18,Starbucks,0.29289354344999996,8250,-1.9289032311107457
2019-06-17,Starbucks,0.3683918972,10624,-1.8801077036915235
2019-06-16,Starbucks,0.46050112,11800,-1.8559360355175532
2019-06-15,Starbucks,0.5456330395,6516,-1.9645441091835896
2019-06-14,Starbucks,0.5659685134999999,7108,-1.9523760585381895
2019-06-13,Starbucks,0.5479923232999998,11758,-1.8567993093809094
2019-06-12,Starbucks,0.44824380929999996,9608,-1.9009907095288991
2019-06-11,Starbucks,0.49200841324999994,10782,-1.8768601496341364
2019-06-10,Starbucks,0.5784424693,10332,-1.8861095124558087
2019-06-09,Starbucks,0.40019067374999995,7699,-1.9402285620323934
